"id","identifier","slug.de","title.de","subpages"
1,"home","","Home","[]"
999,"not-found","","NotFound","[]"
2,"explore","explore-de","Explore","[]"
3,"qr","qr-de","Qr","[]"
4,"list","list-de","List","[]"
5,"menu","menu-de","Menu","[6,7,8,9]"
6,"intro","intro-de","Intro","[]"
7,"about","about-de","Infos zum Projekt","[]"
8,"help", "help-de","Hilfe","[10,11,12,13,14,15,16]"
9,"imprint","imprint-de","Impressum","[]"
10,"faq-1","faq-1-de","Missing camera permissions","[]"
11,"faq-2","faq-2-de","Missing location permissions","[]"
12,"faq-3","faq-3-de","Locationâ€™s accuracy","[]"